knesset_number,party_name,party_sign,mandates
18,קדימה,כן,28
18,הליכוד,מחל,27
18,ישראל ביתנו,ל,15
18,העבודה,אמת,13
18,"ש""ס",שס,11
18,יהדות התורה,ג,5
18,האיחוד הלאומי,ט,4
18,הבית היהודי,ב,3
18,מרצ,מרצ,3
18,"רע""ם-תע""ל",עם,4
18,"חד""ש",ו,4
18,"בל""ד",ד,3
19,הליכוד ביתנו,מחל,31
19,יש עתיד,פה,19
19,העבודה,אמת,15
19,הבית היהודי,טב,12
19,"ש""ס",שס,11
19,יהדות התורה,ג,7
19,התנועה,צפ,6
19,מרצ,מרצ,6
19,"חד""ש",ו,4
19,"רע""ם-תע""ל",עם,4
19,"בל""ד",ד,3
19,קדימה,כן,2
20,הליכוד,מחל,30
20,המחנה הציוני,אמת,24
20,הרשימה המשותפת,ודעם,13
20,יש עתיד,פה,11
20,כולנו,כ,10
20,הבית היהודי,טב,8
20,"ש""ס",שס,7
20,ישראל ביתנו,ל,6
20,יהדות התורה,ג,6
20,מרצ,מרצ,5
21,הליכוד,מחל,35
21,כחול לבן,פה,35
21,"ש""ס",שס,8
21,יהדות התורה,ג,8
21,"חד""ש-תע""ל",ום,6
21,העבודה,אמת,6
21,ישראל ביתנו,ל,5
21,איחוד מפלגות הימין,טב,5
21,מרצ,מרצ,4
21,כולנו,כ,4
21,"רע""ם-בל""ד",דעם,4
22,כחול לבן,פה,33
22,הליכוד,מחל,32
22,הרשימה המשותפת,ודעם,13
22,"ש""ס",שס,9
22,ישראל ביתנו,ל,8
22,יהדות התורה,ג,7
22,ימינה,טב,7
22,העבודה-גשר,אמת,6
22,המחנה הדמוקרטי,מרצ,5
23,הליכוד,מחל,36
23,כחול לבן,פה,33
23,הרשימה המשותפת,ודעם,15
23,"ש""ס",שס,9
23,יהדות התורה,ג,7
23,ישראל ביתנו,ל,7
23,העבודה-גשר-מרצ,אמת,7
23,ימינה,טב,6
24,הליכוד,מחל,30
24,יש עתיד,פה,17
24,"ש""ס",שס,9
24,כחול לבן,כן,8
24,ימינה,ב,7
24,העבודה,אמת,7
24,יהדות התורה,ג,7
24,ישראל ביתנו,ל,7
24,הציונות הדתית,ט,6
24,הרשימה המשותפת,ודעם,6
24,תקווה חדשה,ת,6
24,מרצ,מרצ,6
24,"רע""ם",עם,4
25,הליכוד,מחל,32
25,יש עתיד,פה,24
25,הציונות הדתית,ט,14
25,המחנה הממלכתי,כן,12
25,"ש""ס",שס,11
25,יהדות התורה,ג,7
25,ישראל ביתנו,ל,6
25,"רע""ם",עם,5
25,"חד""ש-תע""ל",ום,5
25,העבודה,אמת,4
